,Season,Squad,Age,Tkl,TklWon,Blocks,Int,Clr,SCA,PasAss,GCA,GcaDrib,Recov,AerWon,Assists,PPA,CrsPA,TklDri,Goals,SoT,G/Sh,PasProg,Goals Conceded
305,2020/2021,Lorient,580,719.0,423.0,419.0,526.0,648.0,718.0,494.0,80.0,5.0,2015.0,500.0,26.0,189.0,55.0,270.0,49.0,130.0,1.67,1161.0,68
306,2020/2021,Lyon,520,574.0,341.0,362.0,395.0,563.0,1065.0,767.0,130.0,10.0,2063.0,514.0,46.0,424.0,76.0,334.0,76.0,222.0,1.55,1955.0,43
307,2020/2021,M'Gladbach,467,493.0,302.0,414.0,427.0,597.0,773.0,550.0,109.0,3.0,1833.0,501.0,44.0,244.0,41.0,212.0,63.0,165.0,1.8900000000000001,1356.0,56
308,2020/2021,Mainz 05,610,586.0,359.0,412.0,490.0,654.0,621.0,434.0,64.0,2.0,1889.0,603.0,23.0,213.0,71.0,218.0,39.0,134.0,2.04,1027.0,56
309,2020/2021,Manchester City,532,495.0,270.0,310.0,319.0,442.0,1061.0,796.0,140.0,17.0,1897.0,473.0,54.0,410.0,41.0,298.0,82.0,211.0,2.5700000000000003,2050.0,32
310,2020/2021,Manchester Utd,537,537.0,303.0,411.0,383.0,605.0,950.0,718.0,125.0,8.0,2052.0,528.0,51.0,377.0,54.0,289.0,70.0,196.0,2.86,1818.0,44
311,2020/2021,Marseille,621,644.0,384.0,359.0,432.0,692.0,660.0,476.0,96.0,3.0,1821.0,540.0,45.0,224.0,52.0,259.0,53.0,128.0,3.05,1470.0,47
312,2020/2021,Metz,565,682.0,415.0,393.0,566.0,724.0,749.0,521.0,71.0,6.0,2044.0,582.0,28.0,190.0,70.0,293.0,42.0,127.0,1.96,1208.0,48
313,2020/2021,Monaco,599,733.0,432.0,355.0,434.0,489.0,851.0,599.0,129.0,7.0,2111.0,600.0,52.0,363.0,80.0,262.0,76.0,160.0,2.74,1746.0,42
314,2020/2021,Montpellier,541,525.0,331.0,368.0,417.0,686.0,783.0,515.0,104.0,9.0,1814.0,646.0,42.0,250.0,121.0,287.0,60.0,168.0,2.85,1309.0,62
315,2020/2021,Nantes,537,691.0,383.0,386.0,463.0,691.0,698.0,475.0,78.0,10.0,2001.0,657.0,28.0,175.0,49.0,299.0,47.0,120.0,1.73,1347.0,55
316,2020/2021,Napoli,539,571.0,343.0,379.0,366.0,520.0,1109.0,825.0,141.0,18.0,1849.0,399.0,55.0,361.0,69.0,240.0,83.0,217.0,1.84,1695.0,41
317,2020/2021,Newcastle Utd,607,509.0,266.0,416.0,355.0,886.0,680.0,447.0,74.0,6.0,1717.0,610.0,26.0,206.0,82.0,237.0,44.0,130.0,2.06,897.0,62
318,2020/2021,Nice,556,596.0,361.0,351.0,432.0,637.0,700.0,484.0,78.0,5.0,1925.0,378.0,26.0,229.0,59.0,298.0,49.0,138.0,2.47,1524.0,53
319,2020/2021,Osasuna,633,513.0,274.0,346.0,384.0,723.0,606.0,436.0,61.0,0.0,1994.0,980.0,25.0,256.0,99.0,194.0,36.0,114.0,1.46,1206.0,48
320,2020/2021,Paris S-G,632,604.0,382.0,323.0,372.0,431.0,975.0,714.0,135.0,10.0,1982.0,349.0,52.0,422.0,74.0,355.0,84.0,200.0,2.37,2077.0,28
321,2020/2021,Parma,748,556.0,299.0,388.0,430.0,743.0,675.0,482.0,70.0,6.0,1713.0,617.0,26.0,233.0,88.0,222.0,39.0,123.0,1.6800000000000002,1283.0,83
322,2020/2021,RB Leipzig,495,458.0,304.0,334.0,350.0,497.0,968.0,726.0,104.0,8.0,1983.0,618.0,44.0,366.0,81.0,208.0,59.0,189.0,1.8900000000000001,1715.0,32
323,2020/2021,Real Madrid,664,526.0,317.0,338.0,391.0,517.0,968.0,735.0,113.0,8.0,1821.0,425.0,52.0,396.0,76.0,210.0,64.0,167.0,2.41,1895.0,28
324,2020/2021,Real Sociedad,582,539.0,318.0,349.0,304.0,536.0,735.0,520.0,98.0,2.0,1853.0,641.0,39.0,339.0,64.0,218.0,58.0,139.0,1.96,1514.0,38
325,2020/2021,Reims,539,631.0,358.0,319.0,469.0,712.0,602.0,456.0,63.0,6.0,1828.0,469.0,23.0,205.0,57.0,296.0,39.0,122.0,1.99,1177.0,50
326,2020/2021,Roma,570,465.0,267.0,351.0,481.0,497.0,896.0,649.0,115.0,10.0,1808.0,417.0,50.0,318.0,68.0,263.0,67.0,191.0,2.0700000000000003,1542.0,55
327,2020/2021,Saint-Étienne,674,702.0,417.0,365.0,461.0,644.0,755.0,481.0,65.0,7.0,2032.0,590.0,28.0,222.0,82.0,366.0,40.0,140.0,1.73,1214.0,54
328,2020/2021,Sampdoria,611,546.0,308.0,451.0,428.0,696.0,701.0,491.0,83.0,7.0,1929.0,605.0,35.0,263.0,74.0,191.0,52.0,134.0,2.27,1335.0,54
329,2020/2021,Sassuolo,552,524.0,307.0,381.0,423.0,602.0,947.0,701.0,108.0,7.0,1794.0,390.0,36.0,352.0,46.0,290.0,61.0,164.0,1.58,1738.0,56
330,2020/2021,Schalke 04,774,503.0,313.0,417.0,394.0,641.0,498.0,320.0,41.0,3.0,1639.0,490.0,20.0,168.0,35.0,270.0,24.0,81.0,2.64,892.0,86
331,2020/2021,Sevilla,657,491.0,296.0,310.0,362.0,636.0,830.0,635.0,87.0,8.0,1937.0,614.0,36.0,346.0,122.0,207.0,52.0,135.0,3.06,1627.0,33
332,2020/2021,Sheffield Utd,547,624.0,349.0,427.0,337.0,784.0,558.0,428.0,27.0,2.0,1732.0,692.0,13.0,251.0,65.0,206.0,19.0,92.0,1.13,1185.0,63
333,2020/2021,Southampton,525,715.0,415.0,438.0,401.0,658.0,721.0,507.0,83.0,6.0,1954.0,519.0,33.0,256.0,34.0,257.0,47.0,157.0,1.26,1190.0,68
334,2020/2021,Spezia,716,548.0,310.0,358.0,387.0,521.0,652.0,477.0,84.0,3.0,1904.0,523.0,36.0,248.0,66.0,203.0,52.0,130.0,2.81,1361.0,72
335,2020/2021,Strasbourg,574,632.0,395.0,303.0,519.0,633.0,688.0,463.0,75.0,4.0,2014.0,690.0,26.0,252.0,98.0,209.0,49.0,129.0,1.5,1301.0,58
336,2020/2021,Stuttgart,520,492.0,290.0,375.0,423.0,635.0,793.0,569.0,92.0,6.0,1972.0,530.0,42.0,263.0,52.0,254.0,54.0,150.0,1.49,1429.0,55
337,2020/2021,Torino,635,528.0,305.0,412.0,444.0,719.0,789.0,500.0,80.0,5.0,1913.0,590.0,28.0,235.0,96.0,245.0,49.0,144.0,2.37,1138.0,69
338,2020/2021,Tottenham,566,636.0,361.0,434.0,342.0,785.0,784.0,552.0,119.0,13.0,1923.0,613.0,50.0,257.0,54.0,312.0,66.0,167.0,1.71,1330.0,45
339,2020/2021,Udinese,633,495.0,290.0,419.0,434.0,670.0,697.0,501.0,67.0,9.0,1786.0,480.0,30.0,268.0,69.0,232.0,40.0,125.0,2.36,1384.0,58
340,2020/2021,Union Berlin,596,502.0,282.0,366.0,405.0,595.0,679.0,473.0,86.0,2.0,1906.0,572.0,39.0,193.0,87.0,182.0,50.0,132.0,1.9,1058.0,60
342,2020/2021,Valencia,580,458.0,273.0,370.0,388.0,757.0,682.0,479.0,85.0,5.0,1775.0,591.0,35.0,239.0,62.0,210.0,48.0,129.0,2.47,1174.0,53
343,2020/2021,Valladolid,664,555.0,318.0,373.0,421.0,792.0,644.0,465.0,55.0,3.0,1868.0,616.0,20.0,213.0,90.0,214.0,34.0,110.0,1.69,1090.0,57
344,2020/2021,Villarreal,682,539.0,313.0,358.0,371.0,625.0,737.0,573.0,98.0,12.0,1837.0,482.0,33.0,358.0,81.0,255.0,57.0,146.0,1.99,1628.0,44
345,2020/2021,Werder Bremen,512,526.0,322.0,353.0,383.0,715.0,608.0,438.0,60.0,2.0,1595.0,571.0,25.0,187.0,81.0,178.0,35.0,120.0,1.67,1004.0,57
346,2020/2021,West Brom,661,567.0,319.0,448.0,429.0,839.0,559.0,400.0,51.0,1.0,1894.0,692.0,19.0,194.0,58.0,241.0,33.0,106.0,1.23,1017.0,47
347,2020/2021,Wolfsburg,523,593.0,363.0,464.0,475.0,690.0,807.0,589.0,99.0,6.0,2025.0,555.0,48.0,281.0,70.0,185.0,57.0,164.0,1.53,1395.0,37
348,2020/2021,Wolves,534,579.0,329.0,356.0,428.0,720.0,817.0,568.0,63.0,7.0,1858.0,565.0,21.0,210.0,82.0,309.0,34.0,149.0,1.1400000000000001,1281.0,52
349,2021/2022,Alavés,610,532.0,312.0,361.0,370.0,845.0,610.0,377.0,47.0,4.0,1844.0,860.0,20.0,191.0,80.0,228.0,29.0,111.0,1.2,964.0,65
350,2021/2022,Angers,576,614.0,368.0,384.0,420.0,605.0,667.0,436.0,71.0,6.0,2015.0,392.0,25.0,186.0,56.0,437.0,41.0,123.0,1.21,1347.0,55
351,2021/2022,Arminia,535,547.0,311.0,393.0,417.0,760.0,569.0,395.0,42.0,1.0,1837.0,655.0,18.0,188.0,54.0,280.0,26.0,109.0,1.48,882.0,53
352,2021/2022,Arsenal,582,537.0,309.0,386.0,292.0,630.0,1028.0,788.0,99.0,4.0,1817.0,454.0,41.0,329.0,74.0,271.0,60.0,186.0,1.6500000000000001,1654.0,48
353,2021/2022,Aston Villa,595,601.0,362.0,439.0,327.0,670.0,819.0,596.0,91.0,9.0,1734.0,519.0,42.0,292.0,70.0,252.0,50.0,159.0,2.12,1276.0,54
354,2021/2022,Atalanta,640,627.0,339.0,436.0,440.0,464.0,1074.0,773.0,109.0,8.0,2257.0,673.0,48.0,424.0,81.0,305.0,62.0,167.0,2.19,1854.0,48
355,2021/2022,Athletic Club,599,508.0,292.0,411.0,338.0,781.0,813.0,574.0,72.0,1.0,2048.0,578.0,34.0,304.0,82.0,232.0,40.0,150.0,1.61,1572.0,36
356,2021/2022,Atlético Madrid,603,633.0,345.0,372.0,362.0,643.0,826.0,592.0,110.0,5.0,1994.0,553.0,45.0,324.0,66.0,216.0,63.0,152.0,2.16,1460.0,43
357,2021/2022,Augsburg,606,552.0,333.0,393.0,352.0,737.0,597.0,425.0,58.0,2.0,1864.0,536.0,26.0,218.0,85.0,249.0,39.0,117.0,1.74,888.0,56
358,2021/2022,Barcelona,766,581.0,325.0,344.0,322.0,447.0,932.0,721.0,123.0,7.0,2000.0,446.0,52.0,388.0,99.0,271.0,68.0,177.0,3.55,2068.0,38
359,2021/2022,Bayern Munich,563,558.0,334.0,337.0,349.0,396.0,1156.0,861.0,159.0,9.0,2111.0,416.0,70.0,496.0,71.0,338.0,92.0,255.0,2.0700000000000003,2150.0,37
360,2021/2022,Betis,709,658.0,391.0,386.0,360.0,758.0,896.0,666.0,94.0,10.0,1852.0,496.0,45.0,290.0,50.0,283.0,60.0,182.0,2.0700000000000003,1516.0,40
361,2021/2022,Bochum,671,565.0,353.0,420.0,428.0,602.0,637.0,432.0,58.0,4.0,2023.0,599.0,21.0,174.0,66.0,216.0,37.0,136.0,1.87,920.0,52
362,2021/2022,Bologna,625,521.0,291.0,375.0,364.0,647.0,774.0,597.0,76.0,2.0,1910.0,466.0,34.0,297.0,88.0,269.0,43.0,143.0,1.65,1267.0,55
363,2021/2022,Bordeaux,703,620.0,364.0,338.0,441.0,623.0,748.0,523.0,90.0,9.0,1982.0,461.0,38.0,218.0,59.0,301.0,50.0,145.0,2.12,1227.0,91
364,2021/2022,Brentford,566,603.0,341.0,382.0,392.0,845.0,731.0,480.0,77.0,4.0,2008.0,705.0,32.0,261.0,81.0,214.0,46.0,141.0,2.18,1182.0,56
365,2021/2022,Brest,538,675.0,395.0,365.0,466.0,678.0,691.0,483.0,76.0,7.0,1960.0,610.0,31.0,252.0,88.0,325.0,48.0,138.0,1.37,1339.0,57
366,2021/2022,Brighton,555,665.0,401.0,477.0,358.0,712.0,865.0,625.0,72.0,4.0,2088.0,550.0,30.0,341.0,72.0,239.0,40.0,141.0,1.39,1545.0,44
367,2021/2022,Burnley,603,590.0,324.0,509.0,407.0,857.0,663.0,450.0,60.0,5.0,1974.0,808.0,26.0,237.0,84.0,221.0,32.0,119.0,1.52,972.0,53
368,2021/2022,Cagliari,684,544.0,293.0,399.0,392.0,721.0,738.0,520.0,60.0,2.0,1931.0,690.0,26.0,225.0,92.0,224.0,34.0,117.0,1.1600000000000001,1077.0,68
369,2021/2022,Celta Vigo,610,696.0,409.0,423.0,376.0,634.0,701.0,540.0,70.0,3.0,2143.0,603.0,29.0,285.0,84.0,244.0,43.0,135.0,1.01,1447.0,43
370,2021/2022,Chelsea,595,620.0,348.0,408.0,347.0,624.0,1063.0,817.0,135.0,8.0,2039.0,526.0,52.0,437.0,66.0,260.0,75.0,200.0,2.31,1967.0,33
371,2021/2022,Clermont Foot,627,622.0,361.0,372.0,385.0,511.0,768.0,550.0,64.0,5.0,2086.0,430.0,25.0,263.0,102.0,272.0,36.0,134.0,1.3,1369.0,69
372,2021/2022,Crystal Palace,505,635.0,373.0,448.0,330.0,750.0,706.0,497.0,81.0,7.0,2061.0,601.0,31.0,270.0,75.0,302.0,50.0,140.0,1.45,1225.0,46
373,2021/2022,Dortmund,570,523.0,312.0,339.0,329.0,465.0,788.0,564.0,140.0,12.0,1896.0,405.0,57.0,299.0,47.0,281.0,81.0,165.0,4.02,1434.0,52
374,2021/2022,Eint Frankfurt,579,568.0,318.0,411.0,354.0,539.0,742.0,509.0,74.0,4.0,2056.0,525.0,33.0,219.0,78.0,256.0,43.0,136.0,1.6500000000000001,1192.0,49
375,2021/2022,Elche,706,586.0,323.0,366.0,304.0,740.0,585.0,423.0,68.0,7.0,1908.0,513.0,29.0,204.0,78.0,258.0,39.0,106.0,2.1,1100.0,52
376,2021/2022,Espanyol,565,544.0,329.0,355.0,319.0,853.0,706.0,509.0,65.0,4.0,1666.0,430.0,24.0,208.0,57.0,241.0,39.0,128.0,1.8800000000000001,1199.0,53
377,2021/2022,Everton,629,700.0,398.0,491.0,363.0,796.0,728.0,523.0,66.0,4.0,1990.0,616.0,29.0,252.0,77.0,292.0,42.0,130.0,2.06,1099.0,66
378,2021/2022,Fiorentina,586,499.0,295.0,349.0,237.0,377.0,897.0,646.0,98.0,4.0,1806.0,442.0,32.0,337.0,99.0,237.0,59.0,172.0,2.09,1568.0,51
379,2021/2022,Freiburg,434,492.0,285.0,331.0,331.0,693.0,751.0,505.0,88.0,2.0,1764.0,641.0,37.0,285.0,71.0,188.0,55.0,153.0,1.92,1180.0,46
380,2021/2022,Genoa,870,736.0,414.0,487.0,449.0,728.0,680.0,460.0,48.0,5.0,2192.0,627.0,19.0,211.0,74.0,277.0,26.0,106.0,0.9500000000000001,1095.0,60
381,2021/2022,Getafe,711,583.0,359.0,398.0,399.0,690.0,694.0,460.0,53.0,3.0,1867.0,703.0,26.0,164.0,71.0,209.0,31.0,111.0,1.04,913.0,41
