,Season,Squad,Age,Tkl,TklWon,Blocks,Int,Clr,SCA,PasAss,GCA,GcaDrib,Recov,AerWon,Assists,PPA,CrsPA,TklDri,Goals,SoT,G/Sh,PasProg,Goals Conceded
412,2021/2022,RB Leipzig,546,499.0,289.0,398.0,347.0,508.0,758.0,547.0,129.0,10.0,1935.0,497.0,53.0,373.0,75.0,213.0,72.0,169.0,2.8,1461.0,37
413,2021/2022,Rayo Vallecano,642,621.0,359.0,410.0,364.0,671.0,855.0,599.0,63.0,7.0,2073.0,639.0,28.0,267.0,109.0,282.0,38.0,133.0,1.24,1312.0,50
414,2021/2022,Real Madrid,640,542.0,335.0,369.0,324.0,496.0,1183.0,911.0,136.0,13.0,1852.0,376.0,58.0,449.0,54.0,319.0,80.0,243.0,2.09,2056.0,31
415,2021/2022,Real Sociedad,670,571.0,330.0,371.0,337.0,647.0,760.0,521.0,69.0,6.0,1905.0,649.0,22.0,313.0,69.0,306.0,40.0,143.0,1.8599999999999999,1432.0,37
416,2021/2022,Reims,681,595.0,348.0,458.0,487.0,720.0,680.0,487.0,71.0,4.0,2019.0,441.0,27.0,230.0,75.0,265.0,42.0,137.0,2.64,1182.0,44
417,2021/2022,Roma,602,608.0,358.0,379.0,382.0,540.0,1024.0,691.0,92.0,8.0,1933.0,520.0,30.0,330.0,69.0,298.0,58.0,184.0,3.3899999999999997,1582.0,43
418,2021/2022,Saint-Étienne,668,669.0,381.0,388.0,438.0,517.0,741.0,512.0,65.0,5.0,2065.0,450.0,25.0,198.0,62.0,337.0,41.0,141.0,2.13,1387.0,77
419,2021/2022,Salernitana,903,530.0,314.0,377.0,339.0,742.0,726.0,489.0,58.0,3.0,1775.0,643.0,19.0,219.0,99.0,269.0,32.0,130.0,1.57,1017.0,78
420,2021/2022,Sampdoria,663,537.0,315.0,373.0,424.0,681.0,662.0,481.0,68.0,3.0,1948.0,584.0,29.0,260.0,89.0,187.0,42.0,118.0,2.15,1154.0,63
421,2021/2022,Sassuolo,532,473.0,265.0,415.0,312.0,616.0,995.0,782.0,102.0,10.0,1861.0,326.0,38.0,313.0,55.0,269.0,60.0,204.0,1.1800000000000002,1495.0,66
422,2021/2022,Sevilla,699,533.0,302.0,366.0,269.0,589.0,779.0,575.0,93.0,8.0,2011.0,587.0,38.0,304.0,112.0,283.0,51.0,139.0,2.16,1594.0,30
423,2021/2022,Southampton,517,582.0,328.0,418.0,427.0,724.0,803.0,577.0,71.0,6.0,2136.0,646.0,26.0,248.0,58.0,274.0,41.0,161.0,1.13,1298.0,67
424,2021/2022,Spezia,578,573.0,339.0,462.0,368.0,728.0,656.0,462.0,61.0,3.0,1974.0,526.0,25.0,208.0,60.0,253.0,38.0,127.0,3.14,989.0,71
425,2021/2022,Strasbourg,496,647.0,382.0,373.0,428.0,554.0,801.0,579.0,97.0,5.0,2049.0,642.0,40.0,324.0,105.0,223.0,56.0,150.0,1.84,1544.0,43
426,2021/2022,Stuttgart,621,525.0,306.0,379.0,338.0,691.0,787.0,545.0,69.0,5.0,1942.0,566.0,30.0,236.0,59.0,319.0,40.0,153.0,1.86,1255.0,59
427,2021/2022,Torino,650,525.0,308.0,370.0,420.0,642.0,821.0,585.0,74.0,6.0,2075.0,776.0,27.0,271.0,95.0,215.0,43.0,142.0,1.62,1310.0,41
428,2021/2022,Tottenham,538,597.0,348.0,468.0,354.0,762.0,876.0,672.0,114.0,4.0,1862.0,546.0,50.0,337.0,81.0,291.0,63.0,185.0,1.62,1459.0,40
429,2021/2022,Troyes,707,618.0,345.0,349.0,385.0,559.0,659.0,464.0,54.0,2.0,1833.0,393.0,23.0,213.0,84.0,267.0,35.0,120.0,2.04,1181.0,53
430,2021/2022,Udinese,643,617.0,349.0,426.0,349.0,649.0,857.0,581.0,92.0,8.0,1977.0,443.0,36.0,280.0,54.0,316.0,58.0,181.0,2.42,1223.0,58
431,2021/2022,Union Berlin,679,537.0,295.0,322.0,376.0,645.0,687.0,495.0,70.0,6.0,1933.0,573.0,33.0,248.0,111.0,168.0,50.0,149.0,1.75,1122.0,49
433,2021/2022,Valencia,634,571.0,349.0,365.0,328.0,715.0,701.0,464.0,80.0,7.0,1963.0,552.0,28.0,253.0,74.0,281.0,45.0,129.0,1.85,1171.0,53
434,2021/2022,Villarreal,649,537.0,312.0,328.0,327.0,621.0,787.0,584.0,111.0,11.0,1887.0,476.0,51.0,344.0,66.0,294.0,62.0,164.0,2.55,1689.0,37
435,2021/2022,Watford,721,613.0,356.0,438.0,441.0,877.0,684.0,466.0,56.0,4.0,2081.0,702.0,25.0,212.0,70.0,356.0,33.0,123.0,1.3900000000000001,1068.0,77
436,2021/2022,Wolfsburg,579,531.0,293.0,381.0,379.0,714.0,707.0,493.0,65.0,3.0,1900.0,592.0,23.0,249.0,68.0,216.0,42.0,132.0,1.46,1199.0,54
437,2021/2022,Wolves,552,666.0,372.0,437.0,386.0,797.0,684.0,489.0,57.0,5.0,2035.0,448.0,21.0,209.0,57.0,320.0,35.0,133.0,1.59,1272.0,43
