Name,Team,League,Age,Goals,Assists,ProgP,SoT,G/Sh,SCA,PassesPA,KP,Creation Rank,Scoring Rank
Abel Hernández,Atlético,LigaMX,31,8,0,17,17,0.17,30,5,14,2824.5,347.0
Abraham Bass,Atlas,LigaMX,20,0,0,0,0,0.0,0,0,0,4801.5,3358.5
Abraham Flores,Tijuana,LigaMX,20,0,0,2,0,0,1,0,0,4665.5,3358.5
Adonis Frías,León,LigaMX,24,0,1,41,0,0.0,12,3,5,2372.0,3358.5
Adrián Aldrete,UNAM,LigaMX,34,1,2,47,3,0.14,22,6,11,1622.5,1453.0
Adrián Mora,FC Juárez,LigaMX,24,0,0,10,0,0.0,2,0,1,4254.0,3358.5
Agustín Oliveros,Necaxa,LigaMX,23,3,1,114,4,0.15,37,18,15,1014.5,1025.5
Agustín Urzi,FC Juárez,LigaMX,22,0,1,19,2,0.0,20,5,8,2365.5,2830.0
Alam Galindo,Tijuana,LigaMX,21,0,0,0,0,0,0,0,0,4801.5,3358.5
Alan Cervantes,Santos,LigaMX,24,0,1,105,2,0.0,42,4,15,1539.0,2830.0
Alan Medina,FC Juárez,LigaMX,24,6,2,84,11,0.18,61,34,21,590.0,475.5
Alan Mozo,Guadalajara,LigaMX,25,0,2,91,3,0.0,68,35,28,447.5,2728.0
Alan Rodríguez,Toluca,LigaMX,26,0,0,5,0,0.0,5,1,3,3901.0,3358.5
Alan Ruiz,Tijuana,LigaMX,21,0,0,2,0,0,1,0,1,4438.0,3358.5
Alan Soñora,FC Juárez,LigaMX,23,0,1,30,0,0.0,17,3,10,2262.5,3358.5
Alan Torres,Guadalajara,LigaMX,22,0,0,43,3,0.0,19,5,4,2823.5,2728.0
Alberto García Jr.,Querétaro,LigaMX,28,0,0,1,0,0,1,1,0,4442.5,3358.5
Alberto Herrera,Puebla,LigaMX,21,0,0,5,0,0,7,5,5,3433.5,3358.5
Alberto Joshimar Acosta,FC Juárez,LigaMX,34,0,0,61,1,0.0,18,7,2,2694.0,3042.0
Alberto Ocejo,Atlas,LigaMX,24,1,1,12,3,0.06,18,3,8,2705.0,1754.0
Aldo Cruz,Atlético,LigaMX,24,0,1,51,1,0.0,10,8,5,1986.0,3042.0
Aldo Llanas,Toluca,LigaMX,0,0,0,0,0,0,0,0,0,4801.5,3358.5
Aldo López,Santos,LigaMX,22,0,0,54,2,0.0,21,4,6,2608.5,2830.0
Aldo Rocha,Atlas,LigaMX,29,1,1,117,2,0.08,56,16,18,979.5,1788.5
Alejandro Andrade,Necaxa,LigaMX,20,0,0,5,0,0,1,1,0,4324.0,3358.5
Alejandro Arribas,FC Juárez,LigaMX,33,0,0,45,5,0.0,11,1,6,3009.0,2567.5
Alejandro Gómez,Atlas,LigaMX,20,0,2,19,0,0,5,3,4,2449.5,3358.5
Alejandro Martínez,Tijuana,LigaMX,25,1,1,37,5,0.06,19,8,10,1938.0,1593.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,0,0.0,8,4,3,3419.0,3358.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,0,0.0,8,3,1,3690.5,3358.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,0,0.0,9,4,3,3419.0,3358.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,0,0.0,9,3,1,3690.5,3358.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,1,0.33,8,4,3,3419.0,2096.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,1,0.33,8,3,1,3690.5,2096.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,1,0.33,9,4,3,3419.0,2096.5
Alejandro Mayorga,Cruz Azul,LigaMX,25,0,0,14,1,0.33,9,3,1,3690.5,2096.5
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,0,0.0,8,4,3,3196.5,2824.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,0,0.0,8,3,1,3468.0,2824.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,0,0.0,9,4,3,3196.5,2824.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,0,0.0,9,3,1,3468.0,2824.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,1,0.33,8,4,3,3196.5,1562.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,1,0.33,8,3,1,3468.0,1562.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,1,0.33,9,4,3,3196.5,1562.0
Alejandro Mayorga,Guadalajara,LigaMX,25,1,0,23,1,0.33,9,3,1,3468.0,1562.0
Alejandro Organista,Atlético,LigaMX,22,0,0,1,0,0.0,1,0,1,4484.0,3358.5
Alejandro Zendejas,América,LigaMX,24,8,4,103,23,0.14,87,42,27,282.5,373.5
Alek Álvarez,UNAM,LigaMX,19,0,1,23,0,0.0,19,1,9,2606.0,3358.5
Alexis Canelo,Tijuana,LigaMX,30,6,2,99,18,0.06,98,36,41,325.5,770.5
Alexis Francisco Peña,Necaxa,LigaMX,26,1,1,117,4,0.07,30,9,8,1468.0,1633.5
Alexis Gutiérrez,Cruz Azul,LigaMX,22,0,0,14,1,0.0,9,4,4,3341.0,3042.0
Alexis Vega,Guadalajara,LigaMX,24,6,7,91,34,0.06,115,31,52,139.0,738.0
Alfonso Alvarado,León,LigaMX,22,3,1,18,9,0.12,24,6,9,2307.0,735.0
Alfonso Emilio Sánchez,Mazatlán,LigaMX,28,2,0,27,2,0.2,9,5,3,3058.5,1190.0
Alfonso González,Monterrey,LigaMX,27,10,8,111,31,0.14,132,21,62,154.0,343.0
Alfredo Talavera,FC Juárez,LigaMX,39,0,0,0,0,0,8,0,0,4801.5,3358.5
Alonso Escoboza,Cruz Azul,LigaMX,29,3,0,11,4,0.38,9,3,3,3564.0,827.0
Amaury Escoto,Puebla,LigaMX,29,1,0,1,1,0.2,1,1,1,4215.0,1646.0
Anderson Santamaría,Atlas,LigaMX,30,0,1,68,1,0.0,27,13,11,1410.5,3042.0
Andres Montaño,Mazatlán,LigaMX,20,2,0,78,5,0.09,58,8,27,1804.0,1244.0
André-Pierre Gignac,UANL,LigaMX,36,15,3,70,47,0.09,87,17,31,538.0,515.0
Andrés Iniestra,Atlético,LigaMX,26,0,0,37,0,0.0,8,1,4,3204.5,3358.5
Andrés Mosquera Guardia,Toluca,LigaMX,32,1,2,97,4,0.08,32,11,11,1054.5,1599.5
Andrés Sánchez,Atlético,LigaMX,24,0,0,0,0,0,0,0,0,4801.5,3358.5
Antonio Briseño,Guadalajara,LigaMX,28,0,0,16,0,0.0,1,1,1,3784.0,3358.5
Antony Silva,Puebla,LigaMX,38,0,0,0,0,0,6,2,0,4426.5,3358.5
Aníbal Chalá,Atlas,LigaMX,26,0,0,28,3,0.0,13,6,3,2974.5,2728.0
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,9,0.11,24,3,8,3029.5,696.5
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,9,0.11,24,0,2,3860.0,696.5
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,9,0.11,8,3,8,3029.5,696.5
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,9,0.11,8,0,2,3860.0,696.5
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,4,0.06,24,3,8,3029.5,1289.0
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,4,0.06,24,0,2,3860.0,1289.0
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,4,0.06,8,3,8,3029.5,1289.0
Ariel Nahuelpán,Querétaro,LigaMX,34,4,0,21,4,0.06,8,0,2,3860.0,1289.0
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,9,0.11,24,3,8,3336.5,1074.5
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,9,0.11,24,0,2,4167.0,1074.5
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,9,0.11,8,3,8,3336.5,1074.5
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,9,0.11,8,0,2,4167.0,1074.5
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,4,0.06,24,3,8,3336.5,1667.0
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,4,0.06,24,0,2,4167.0,1667.0
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,4,0.06,8,3,8,3336.5,1667.0
Ariel Nahuelpán,Mazatlán,LigaMX,34,1,0,8,4,0.06,8,0,2,4167.0,1667.0
Arnaud Ake,Mazatlán,LigaMX,24,2,2,13,3,0.17,17,4,7,2389.0,1164.0
Arturo Delgado,UANL,LigaMX,20,0,0,0,0,0,0,0,0,4801.5,3358.5
Arturo Ortiz,UNAM,LigaMX,29,0,0,107,6,0.0,28,8,9,2058.0,2488.0
Arturo del Campo,Toluca,LigaMX,19,0,0,0,0,0,0,0,0,4801.5,3358.5
Augusto Lotti,Cruz Azul,LigaMX,26,3,2,5,13,0.13,9,2,3,2981.0,645.0
Avilés Hurtado,Pachuca,LigaMX,35,4,8,104,18,0.09,127,36,60,89.5,708.0
Axel Grijalva,Monterrey,LigaMX,22,0,0,0,0,0,1,1,0,4532.5,3358.5
Baldomero Perlaza,Querétaro,LigaMX,30,0,0,0,2,0.0,0,0,0,4801.5,2830.0
Braian Romero,Tijuana,LigaMX,31,1,0,14,4,0.06,10,4,7,3177.5,1667.0
Brayan Angulo,Toluca,LigaMX,32,1,2,136,7,0.08,55,20,23,510.5,1375.0
Brian García,Toluca,LigaMX,24,2,1,81,3,0.17,38,23,16,1041.0,1164.0
Brian García,Toluca,LigaMX,24,2,1,81,3,0.17,38,22,15,1091.0,1164.0
Brian García,Toluca,LigaMX,24,2,1,81,3,0.17,37,23,16,1041.0,1164.0
Brian García,Toluca,LigaMX,24,2,1,81,3,0.17,37,22,15,1091.0,1164.0
Brian García,Toluca,LigaMX,24,2,1,81,1,0.09,38,23,16,1041.0,1718.5
Brian García,Toluca,LigaMX,24,2,1,81,1,0.09,38,22,15,1091.0,1718.5
Brian García,Toluca,LigaMX,24,2,1,81,1,0.09,37,23,16,1041.0,1718.5
Brian García,Toluca,LigaMX,24,2,1,81,1,0.09,37,22,15,1091.0,1718.5
Brian García,Necaxa,LigaMX,24,1,2,56,3,0.17,38,23,16,891.0,1408.0
Brian García,Necaxa,LigaMX,24,1,2,56,3,0.17,38,22,15,941.0,1408.0
Brian García,Necaxa,LigaMX,24,1,2,56,3,0.17,37,23,16,891.0,1408.0
Brian García,Necaxa,LigaMX,24,1,2,56,3,0.17,37,22,15,941.0,1408.0
Brian García,Necaxa,LigaMX,24,1,2,56,1,0.09,38,23,16,891.0,1962.5
Brian García,Necaxa,LigaMX,24,1,2,56,1,0.09,38,22,15,941.0,1962.5
Brian García,Necaxa,LigaMX,24,1,2,56,1,0.09,37,23,16,891.0,1962.5
Brian García,Necaxa,LigaMX,24,1,2,56,1,0.09,37,22,15,941.0,1962.5
Brian Lozano,Santos,LigaMX,28,1,1,2,0,0.0,5,2,3,3313.0,2824.0
Brian Lozano,Santos,LigaMX,28,1,1,2,0,0.0,5,21,18,2051.0,2824.0
Brian Lozano,Santos,LigaMX,28,1,1,2,0,0.0,43,2,3,3313.0,2824.0
Brian Lozano,Santos,LigaMX,28,1,1,2,0,0.0,43,21,18,2051.0,2824.0
Brian Lozano,Santos,LigaMX,28,1,1,2,17,0.14,5,2,3,3313.0,899.0
Brian Lozano,Santos,LigaMX,28,1,1,2,17,0.14,5,21,18,2051.0,899.0
Brian Lozano,Santos,LigaMX,28,1,1,2,17,0.14,43,2,3,3313.0,899.0
Brian Lozano,Santos,LigaMX,28,1,1,2,17,0.14,43,21,18,2051.0,899.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,0,0.0,5,2,3,2876.5,2403.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,0,0.0,5,21,18,1614.5,2403.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,0,0.0,43,2,3,2876.5,2403.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,0,0.0,43,21,18,1614.5,2403.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,17,0.14,5,2,3,2876.5,478.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,17,0.14,5,21,18,1614.5,478.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,17,0.14,43,2,3,2876.5,478.0
Brian Lozano,Atlas,LigaMX,28,6,0,73,17,0.14,43,21,18,1614.5,478.0
Brian Rodríguez,América,LigaMX,22,1,1,29,6,0.05,27,17,12,1658.0,1552.5
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,7,0.0,15,2,4,3538.0,2416.5
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,7,0.0,15,2,7,3374.5,2416.5
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,7,0.0,14,2,4,3538.0,2416.5
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,7,0.0,14,2,7,3374.5,2416.5
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,4,0.38,15,2,4,3538.0,1681.0
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,4,0.38,15,2,7,3374.5,1681.0
Brian Rubio,Mazatlán,LigaMX,25,0,0,13,4,0.38,14,2,4,3538.0,1681.0
