,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
429,SeriaA,2018/2019,Udinese Calcio,39,42.5,28.42,53,43.0,Bottom Half
431,SeriaA,2019/2020,Atalanta BC,98,86.16,60.0,48,78.0,Top Half
432,SeriaA,2019/2020,Bologna FC 1909,52,57.41,42.83,65,47.0,Bottom Half
434,SeriaA,2019/2020,Cagliari Calcio,52,41.92,32.17,56,45.0,Bottom Half
435,SeriaA,2019/2020,ACF Fiorentina,51,53.51,34.32,48,49.0,Top Half
436,SeriaA,2019/2020,Genoa CFC,47,49.910000000000004,29.7,73,39.0,Bottom Half
437,SeriaA,2019/2020,Inter Milan,81,73.96,47.39,36,82.0,Top Half
438,SeriaA,2019/2020,Juventus FC,76,73.76,47.74,43,83.0,Top Half
439,SeriaA,2019/2020,SS Lazio,79,67.53,41.88,42,78.0,Top Half
441,SeriaA,2019/2020,SSC Napoli,61,63.88,49.57,50,62.0,Top Half
442,SeriaA,2019/2020,Parma Calcio 1913,56,47.12,32.89,57,49.0,Top Half
443,SeriaA,2019/2020,AS Roma,77,78.33,52.75,51,70.0,Top Half
444,SeriaA,2019/2020,SPAL,27,39.04,25.36,77,20.0,Bottom Half
445,SeriaA,2019/2020,UC Sampdoria,48,48.92,30.25,65,42.0,Bottom Half
446,SeriaA,2019/2020,US Sassuolo,69,53.42,39.15,63,51.0,Top Half
447,SeriaA,2019/2020,Torino FC,46,43.5,29.55,68,40.0,Bottom Half
448,SeriaA,2019/2020,Udinese Calcio,37,43.72,34.92,51,45.0,Bottom Half
449,SeriaA,2019/2020,Hellas Verona,47,52.47,36.15,51,49.0,Top Half
451,SeriaA,2020/2021,Atalanta BC,90,82.0,61.64,47,78.0,Top Half
453,SeriaA,2020/2021,Bologna FC 1909,51,57.54,41.1,65,41.0,Bottom Half
454,SeriaA,2020/2021,Cagliari Calcio,43,45.63,32.49,59,37.0,Bottom Half
456,SeriaA,2020/2021,ACF Fiorentina,47,46.17,32.8,59,40.0,Bottom Half
457,SeriaA,2020/2021,Genoa CFC,47,40.69,28.97,58,42.0,Top Half
458,SeriaA,2020/2021,Inter Milan,89,78.37,55.86,35,91.0,Top Half
459,SeriaA,2020/2021,Juventus FC,77,83.53999999999999,64.04,38,78.0,Top Half
460,SeriaA,2020/2021,SS Lazio,61,58.73,40.06,55,68.0,Top Half
461,SeriaA,2020/2021,SSC Napoli,86,74.95,52.0,41,77.0,Top Half
462,SeriaA,2020/2021,Parma Calcio 1913,39,42.97,30.55,83,20.0,Bottom Half
463,SeriaA,2020/2021,AS Roma,68,72.08,54.74,55,63.0,Top Half
464,SeriaA,2020/2021,UC Sampdoria,52,46.7,32.34,54,52.0,Top Half
465,SeriaA,2020/2021,US Sassuolo,64,61.59,37.09,56,62.0,Top Half
466,SeriaA,2020/2021,Spezia Calcio,52,47.89,32.79,72,39.0,Bottom Half
467,SeriaA,2020/2021,Torino FC,50,49.59,32.0,69,37.0,Bottom Half
468,SeriaA,2020/2021,Udinese Calcio,42,48.24,32.28,58,40.0,Bottom Half
469,SeriaA,2020/2021,Hellas Verona,43,47.980000000000004,36.58,48,43.0,Top Half
471,SeriaA,2021/2022,Atalanta BC,65,68.72,53.36,48,59.0,Top Half
472,SeriaA,2021/2022,Bologna FC 1909,44,45.58,33.78,55,46.0,Bottom Half
473,SeriaA,2021/2022,Cagliari Calcio,34,40.74,29.83,68,30.0,Bottom Half
475,SeriaA,2021/2022,ACF Fiorentina,59,62.03,39.26,51,62.0,Top Half
476,SeriaA,2021/2022,Genoa CFC,27,38.52,26.99,60,28.0,Bottom Half
477,SeriaA,2021/2022,Inter Milan,84,90.39,63.66,32,84.0,Top Half
478,SeriaA,2021/2022,Juventus FC,57,60.85,42.68,37,70.0,Top Half
479,SeriaA,2021/2022,SS Lazio,77,59.3,42.77,58,64.0,Top Half
480,SeriaA,2021/2022,SSC Napoli,74,63.65,43.22,31,79.0,Top Half
481,SeriaA,2021/2022,AS Roma,59,66.81,47.35,43,63.0,Top Half
482,SeriaA,2021/2022,US Salernitana 1919,33,39.46,26.37,78,31.0,Bottom Half
483,SeriaA,2021/2022,UC Sampdoria,46,39.12,28.580000000000002,63,36.0,Bottom Half
484,SeriaA,2021/2022,US Sassuolo,64,59.36,43.64,66,50.0,Top Half
485,SeriaA,2021/2022,Spezia Calcio,41,41.65,29.48,71,36.0,Bottom Half
486,SeriaA,2021/2022,Torino FC,46,53.76,39.83,41,50.0,Top Half
487,SeriaA,2021/2022,Udinese Calcio,61,57.14,40.769999999999996,58,47.0,Bottom Half
489,SeriaA,2021/2022,Hellas Verona,65,56.37,37.66,59,53.0,Top Half
