,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
169,EPL,2020/2021,Wolverhampton Wanderers,36,38.62,25.56,52,45.0,Bottom Half
170,EPL,2021/2022,Arsenal FC,61,63.37,39.99,48,69.0,Top Half
171,EPL,2021/2022,Aston Villa,52,43.11,33.42,54,45.0,Bottom Half
172,EPL,2021/2022,Brentford FC,48,52.87,38.24,56,46.0,Bottom Half
173,EPL,2021/2022,Brighton & Hove Albion,42,49.58,35.4,44,51.0,Top Half
174,EPL,2021/2022,Burnley FC,34,41.11,31.51,53,35.0,Bottom Half
175,EPL,2021/2022,Chelsea FC,76,69.29,51.52,33,74.0,Top Half
176,EPL,2021/2022,Crystal Palace,50,48.85,33.72,46,48.0,Bottom Half
177,EPL,2021/2022,Everton FC,43,44.51,30.55,66,39.0,Bottom Half
178,EPL,2021/2022,Leeds United,42,51.19,35.89,79,38.0,Bottom Half
179,EPL,2021/2022,Leicester City,62,49.49,34.85,59,52.0,Top Half
180,EPL,2021/2022,Liverpool FC,94,93.02,66.46000000000001,26,92.0,Top Half
181,EPL,2021/2022,Manchester City,99,93.39,67.69,26,93.0,Top Half
182,EPL,2021/2022,Manchester United,57,57.21,44.33,57,58.0,Top Half
183,EPL,2021/2022,Newcastle United,44,41.56,27.49,62,49.0,Bottom Half
185,EPL,2021/2022,Southampton FC,43,47.36,33.77,67,40.0,Bottom Half
186,EPL,2021/2022,Tottenham Hotspur,69,67.96,52.620000000000005,40,71.0,Top Half
187,EPL,2021/2022,Watford FC,34,39.33,31.83,77,23.0,Bottom Half
188,EPL,2021/2022,West Ham United,60,54.99,38.71,51,56.0,Top Half
189,EPL,2021/2022,Wolverhampton Wanderers,38,39.050000000000004,27.53,43,51.0,Top Half
190,LaLiga,2017/2018,Deportivo Alavés,40,37.88,27.45,50,47.0,Bottom Half
191,LaLiga,2017/2018,Athletic Bilbao,41,51.76,35.73,49,43.0,Bottom Half
192,LaLiga,2017/2018,Atlético de Madrid,58,50.3,36.5,22,79.0,Top Half
193,LaLiga,2017/2018,FC Barcelona,99,90.5,68.43,29,93.0,Top Half
194,LaLiga,2017/2018,Celta de Vigo,59,54.59,43.04,60,49.0,Bottom Half
196,LaLiga,2017/2018,SD Eibar,44,41.41,30.56,50,51.0,Top Half
197,LaLiga,2017/2018,RCD Espanyol Barcelona,36,41.57,27.26,42,49.0,Bottom Half
198,LaLiga,2017/2018,Getafe CF,42,49.03,30.38,33,55.0,Top Half
199,LaLiga,2017/2018,Girona FC,50,52.07,35.26,59,51.0,Top Half
201,LaLiga,2017/2018,CD Leganés,34,39.29,29.23,51,43.0,Bottom Half
202,LaLiga,2017/2018,Levante UD,44,44.2,31.79,58,46.0,Bottom Half
204,LaLiga,2017/2018,Real Betis Balompié,60,46.71,35.36,61,60.0,Top Half
205,LaLiga,2017/2018,Real Madrid,94,91.29,68.23,44,76.0,Top Half
206,LaLiga,2017/2018,Real Sociedad,66,56.34,41.37,59,49.0,Bottom Half
207,LaLiga,2017/2018,Sevilla FC,49,61.49,42.92,58,58.0,Top Half
208,LaLiga,2017/2018,Valencia CF,65,57.79,41.0,38,73.0,Top Half
209,LaLiga,2017/2018,Villarreal CF,57,55.65,44.17,50,61.0,Top Half
210,LaLiga,2018/2019,Deportivo Alavés,39,40.89,28.28,50,50.0,Top Half
211,LaLiga,2018/2019,Athletic Bilbao,41,44.42,31.0,45,53.0,Top Half
212,LaLiga,2018/2019,Atlético de Madrid,55,51.86,38.37,29,76.0,Top Half
213,LaLiga,2018/2019,FC Barcelona,90,83.27,60.83,36,87.0,Top Half
214,LaLiga,2018/2019,Celta de Vigo,53,48.71,34.84,62,41.0,Bottom Half
215,LaLiga,2018/2019,SD Eibar,46,56.63,36.410000000000004,50,47.0,Bottom Half
