Name,Team,League,Age,Goals,Assists,ProgP,SoT,G/Sh,SCA,PassesPA,KP,Creation Rank,Scoring Rank
Ben Waine,Plymouth Argyle,Championship,22,2,1,1,5,0.13,8,0,2,2042.0,519.0
Ben Whiteman,Preston,Championship,27,2,1,75,3,0.18,31,12,11,748.5,536.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,2,1,1,2353.0,1540.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,2,9,10,1716.5,1540.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,21,1,1,2353.0,1540.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,1,0.0,21,9,10,1716.5,1540.5
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,2,1,1,2353.0,1375.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,2,9,10,1716.5,1375.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,21,1,1,2353.0,1375.0
Ben Wiles,Rotherham Utd,Championship,24,0,0,0,3,0.0,21,9,10,1716.5,1375.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,2,1,1,1918.0,1540.5
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,2,9,10,1281.5,1540.5
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,21,1,1,1918.0,1540.5
Ben Wiles,Huddersfield,Championship,24,0,0,43,1,0.0,21,9,10,1281.5,1540.5
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,2,1,1,1918.0,1375.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,2,9,10,1281.5,1375.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,21,1,1,1918.0,1375.0
Ben Wiles,Huddersfield,Championship,24,0,0,43,3,0.0,21,9,10,1281.5,1375.0
Ben Wilmot,Stoke City,Championship,24,1,2,34,1,0.25,11,2,2,1393.0,761.5
Ben Wilson,Coventry City,Championship,31,0,0,1,0,0,1,0,0,2516.5,1712.5
Ben Woodburn,Preston,Championship,24,0,0,8,0,0.0,5,1,1,2158.0,1712.5
Benjamin Nelson,Leicester City,Championship,19,0,0,0,0,0,0,0,0,2590.0,1712.5
Billy Mitchell,Millwall,Championship,23,0,1,52,0,0.0,15,7,6,1088.0,1712.5
Bobby Thomas,Coventry City,Championship,0,1,0,90,4,0.06,16,10,5,1211.5,791.0
Borja Sainz,Norwich City,Championship,22,2,1,10,6,0.12,10,2,5,1592.5,510.5
Brad Potts,Preston,Championship,29,1,1,82,7,0.04,41,18,19,542.5,737.0
Bradley Collins,Coventry City,Championship,26,0,0,0,0,0,2,1,0,2462.5,1712.5
Bradley Dack,Sunderland,Championship,30,1,1,32,3,0.13,19,6,12,1061.5,709.5
Brahima Diarra,Huddersfield,Championship,20,0,1,16,1,0.0,13,3,5,1477.5,1540.5
Brandon Khela,Birmingham City,Championship,18,0,0,0,0,0,0,0,0,2590.0,1712.5
Brandon Thomas-Asante,West Brom,Championship,25,7,2,22,22,0.13,34,7,10,1013.0,195.0
Brandon Williams,Ipswich Town,Championship,23,2,0,38,2,0.67,14,5,3,1622.5,536.5
Brendan Galloway,Plymouth Argyle,Championship,27,0,0,6,0,0.0,6,3,1,2050.0,1712.5
Brooke Norton-Cuffy,Millwall,Championship,19,2,2,45,9,0.13,42,14,14,685.5,416.5
Cafú,Rotherham Utd,Championship,30,0,3,26,1,0.0,36,9,21,740.0,1540.5
Caleb Taylor,West Brom,Championship,20,0,0,0,0,0,0,0,0,2590.0,1712.5
Callum Brittain,Blackburn,Championship,25,1,2,136,7,0.04,59,35,24,231.0,737.0
Callum Doyle,Leicester City,Championship,20,0,1,64,4,0.0,21,11,7,920.5,1319.5
Callum O'Dowda,Cardiff City,Championship,28,0,1,7,1,0.0,8,0,4,1851.0,1540.5
Callum O'Hare,Coventry City,Championship,25,3,1,56,9,0.17,29,14,15,754.0,299.5
Callum Paterson,Sheffield Weds,Championship,29,0,1,35,3,0.0,19,7,10,1064.0,1375.0
Callum Robinson,Cardiff City,Championship,28,1,1,46,7,0.06,32,13,15,818.0,700.5
Callum Wright,Plymouth Argyle,Championship,23,0,0,22,5,0.0,19,6,4,1656.5,1287.5
Calum Kavanagh,Middlesbrough,Championship,20,0,0,0,0,0,0,0,0,2590.0,1712.5
Calvin Ramsay,Preston,Championship,20,0,0,7,0,0.0,0,1,0,2278.0,1712.5
Cameron Burgess,Ipswich Town,Championship,28,0,1,97,1,0.0,31,4,6,1016.0,1540.5
Cameron Dawson,Sheffield Weds,Championship,28,0,0,0,0,0,3,0,0,2590.0,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,1,2,1708.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,2,6,1488.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,1,2,1708.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,2,6,1488.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,1,2,1708.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,4,2,6,1488.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,1,2,1708.5,1712.5
Cameron Humphreys,Rotherham Utd,Championship,25,0,1,17,0,0,5,2,6,1488.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,1,2,1863.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,2,6,1643.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,1,2,1863.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,2,6,1643.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,1,2,1863.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,4,2,6,1643.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,1,2,1863.5,1712.5
Cameron Humphreys,Ipswich Town,Championship,20,0,1,3,0,0,5,2,6,1643.5,1712.5
Cameron Pring,Bristol City,Championship,25,1,2,91,2,0.09,41,17,21,382.0,868.5
Carl Rushworth,Swansea City,Championship,22,0,0,0,0,0,2,1,0,2462.5,1712.5
Carlos Alcaraz,Southampton,Championship,21,3,1,74,16,0.08,46,22,16,575.5,403.5
Casper de Norre,Millwall,Championship,26,0,1,104,3,0.0,43,12,18,594.5,1375.0
Cesare Casadei,Leicester City,Championship,21,2,0,46,7,0.11,25,3,11,1406.5,504.0
Charlie Cresswell,Leeds United,Championship,21,0,0,7,0,0.0,2,0,0,2405.5,1712.5
Charlie Kelman,QPR,Championship,22,0,0,3,3,0.0,3,0,1,2356.0,1375.0
Charlie Patino,Swansea City,Championship,20,3,4,56,3,0.3,44,11,26,469.0,418.5
Che Adams,Southampton,Championship,27,6,2,32,15,0.19,25,10,11,854.0,159.0
Ched Evans,Preston,Championship,35,0,1,19,6,0.0,11,2,6,1473.5,1257.0
Chiquinho,Stoke City,Championship,23,0,0,1,0,0.0,2,0,0,2516.5,1712.5
Chris Maxwell,Huddersfield,Championship,33,0,0,0,0,0,0,0,0,2590.0,1712.5
Chris Rigg,Sunderland,Championship,16,1,0,7,1,1.0,5,2,2,2030.0,725.5
Chris Willock,QPR,Championship,25,3,1,44,6,0.17,32,8,12,959.5,371.5
Christ Tiéhi,Rotherham Utd,Championship,25,1,0,74,4,0.07,20,5,5,1386.5,771.5
Christian Fassnacht,Norwich City,Championship,30,3,0,35,7,0.14,21,15,8,1274.5,380.0
Ciaran Clark,Stoke City,Championship,34,0,0,7,1,0.0,1,0,0,2405.5,1540.5
Ciaran McGuckin,Rotherham Utd,Championship,20,0,0,1,0,0,0,0,0,2516.5,1712.5
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,1,0,1,2480.5,1712.5
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,1,6,16,1693.0,1712.5
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,29,0,1,2480.5,1712.5
Cody Drameh,Leeds United,Championship,22,0,0,0,0,0,29,6,16,1693.0,1712.5
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,1,0,1,2480.5,1452.5
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,1,6,16,1693.0,1452.5
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,29,0,1,2480.5,1452.5
Cody Drameh,Leeds United,Championship,22,0,0,0,2,0.0,29,6,16,1693.0,1452.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,1,0,1,1573.0,1712.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,1,6,16,785.5,1712.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,29,0,1,1573.0,1712.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,0,0,29,6,16,785.5,1712.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,1,0,1,1573.0,1452.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,1,6,16,785.5,1452.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,29,0,1,1573.0,1452.5
Cody Drameh,Birmingham City,Championship,22,0,3,38,2,0.0,29,6,16,785.5,1452.5
Cohen Bramall,Rotherham Utd,Championship,27,1,1,42,2,0.13,27,14,15,829.0,787.0
Conor Chaplin,Ipswich Town,Championship,26,8,6,138,26,0.09,86,30,28,103.0,258.5
Conor Coady,Leicester City,Championship,30,0,0,42,0,0,3,0,0,2163.0,1712.5
Conor Hazard,Plymouth Argyle,Championship,25,0,0,0,0,0,1,0,1,2480.5,1712.5
Conor Townsend,West Brom,Championship,30,0,1,90,2,0.0,43,24,20,473.0,1452.5
Crysencio Summerville,Leeds United,Championship,22,12,6,86,28,0.16,138,36,69,95.5,109.0
Cyrus Christie,Hull City,Championship,31,0,2,83,2,0.0,29,13,9,621.5,1452.5
Cédric Kipré,West Brom,Championship,27,1,0,86,2,0.07,16,2,3,1543.5,904.5
Dael Fry,Middlesbrough,Championship,26,0,1,66,2,0.0,12,6,5,1098.5,1452.5
Dan McNamara,Millwall,Championship,25,0,0,20,0,0.0,9,8,1,1776.0,1712.5
Dan Scarr,Plymouth Argyle,Championship,29,1,0,38,2,0.25,9,1,1,1940.0,673.5
Dane Scarlett,Ipswich Town,Championship,19,0,0,4,3,0.0,10,0,1,2335.5,1375.0
Daniel Ayala,Rotherham Utd,Championship,33,0,0,6,1,0.0,2,0,2,2236.5,1540.5
Daniel Bachmann,Watford,Championship,29,0,0,2,0,0,1,0,0,2488.0,1712.5
Daniel Ballard,Sunderland,Championship,24,3,0,62,7,0.12,14,2,7,1495.5,426.0
Daniel Barlaser,Middlesbrough,Championship,26,0,2,125,0,0.0,62,23,38,208.5,1712.5
Daniel James,Leeds United,Championship,26,8,5,67,21,0.14,64,38,36,200.0,167.0
Daniel Johnson,Stoke City,Championship,31,2,2,73,6,0.07,60,25,31,317.0,606.0
Daniel Neil,Sunderland,Championship,22,4,3,189,9,0.11,71,22,31,147.0,372.0
Danny Batth,Norwich City,Championship,33,1,0,8,3,0.17,4,1,1,2158.0,649.0
Danny Ward,Huddersfield,Championship,32,1,0,15,6,0.05,11,3,3,1850.5,750.5
Darko Gyabi,Leeds United,Championship,19,0,0,0,0,0,0,0,0,2590.0,1712.5
Darnell Furlong,West Brom,Championship,28,2,1,108,6,0.09,40,28,17,466.0,570.0
Darragh Lenihan,Middlesbrough,Championship,29,1,0,61,3,0.14,9,2,5,1573.5,685.5
David Cornell,Preston,Championship,32,0,0,0,0,0,0,0,0,2590.0,1712.5
David Kasumu,Huddersfield,Championship,24,0,1,24,1,0.0,15,9,4,1280.0,1540.5
Degnand Gnonto,Leeds United,Championship,20,1,1,28,4,0.06,30,14,6,1082.0,791.0
Delano Burgzorg,Huddersfield,Championship,25,6,1,13,12,0.18,34,7,12,1177.5,181.5
Dennis Cirkin,Sunderland,Championship,21,0,1,23,1,0.0,11,2,5,1486.0,1540.5
Dennis Praet,Leicester City,Championship,29,0,1,8,1,0.0,7,3,3,1619.0,1540.5
Devis Vásquez,Sheffield Weds,Championship,25,0,0,0,0,0,1,1,0,2462.5,1712.5
Dexter Lembikisa,Rotherham Utd,Championship,20,1,0,53,2,0.17,18,17,6,1206.0,726.5
Di'Shon Bernard,Sheffield Weds,Championship,23,0,2,48,1,0.0,13,1,6,1239.0,1540.5
Dilan Markanday,Blackburn,Championship,22,1,0,32,2,0.09,21,14,7,1320.0,868.5
Dimitris Giannoulis,Norwich City,Championship,28,0,3,64,1,0.0,44,28,24,323.5,1540.5
Dimitris Goutas,Cardiff City,Championship,29,4,0,49,6,0.29,16,0,1,2015.5,272.0
Dion Sanderson,Birmingham City,Championship,24,1,0,39,2,0.1,10,2,3,1751.5,848.0
Djed Spence,Leeds United,Championship,23,0,0,15,0,0.0,9,4,5,1737.0,1712.5
Djeidi Gassama,Sheffield Weds,Championship,20,1,2,18,2,0.14,16,4,9,1151.0,763.0
Dominic Ball,Ipswich Town,Championship,28,0,0,11,0,0,1,0,1,2256.5,1712.5
Dominic Hyam,Blackburn,Championship,28,0,0,61,0,0.0,12,0,2,1881.5,1712.5
Dominic Iorfa,Sheffield Weds,Championship,28,0,1,23,1,0.0,10,2,3,1555.0,1540.5
Doğukan Sınık,Hull City,Championship,24,0,0,1,1,0.0,2,0,0,2516.5,1540.5
Duane Holmes,Preston,Championship,29,3,4,62,9,0.13,43,22,19,370.5,360.0
Duncan Watmore,Millwall,Championship,29,1,1,24,6,0.06,31,12,10,1031.0,728.5
Dwight Gayle,Stoke City,Championship,33,0,0,8,3,0.0,6,2,4,1939.5,1375.0
Ebou Adams,Cardiff City,Championship,27,0,0,5,0,0.0,0,0,0,2430.0,1712.5
Edo Kayembe,Watford,Championship,25,4,1,98,10,0.13,50,14,21,549.5,312.5
Eliezer Mayenda,Sunderland,Championship,18,0,0,0,1,0.0,5,0,0,2590.0,1540.5
Elijah Dixon-Bonner,QPR,Championship,23,0,0,52,3,0.0,18,10,10,1205.5,1375.0
Ellis Simms,Coventry City,Championship,23,3,1,17,17,0.07,28,6,7,1289.0,415.0
Emanuel Aiwum,Birmingham City,Championship,23,0,0,29,1,0.0,9,2,2,1845.0,1540.5
Emil Riis Jakobsen,Preston,Championship,25,0,0,0,0,0,0,1,0,2462.5,1712.5
Emmanouil Siopis,Cardiff City,Championship,29,0,0,71,2,0.0,21,6,8,1268.5,1452.5
Emmanuel Latte Lath,Middlesbrough,Championship,25,5,0,13,20,0.14,21,6,6,1655.0,203.5
Emmanuel Longelo,Birmingham City,Championship,23,0,1,42,3,0.0,21,5,8,1147.5,1375.0
Enda Stevens,Stoke City,Championship,33,0,0,81,0,0.0,23,22,10,927.0,1712.5
Ephraim Yeboah,Bristol City,Championship,17,0,0,5,0,0.0,3,0,1,2320.5,1712.5
Erik Pieters,West Brom,Championship,35,0,0,49,1,0.0,12,5,4,1534.5,1540.5
Ethan Ampadu,Leeds United,Championship,23,0,1,127,5,0.0,60,14,27,471.0,1287.5
Ethan Laird,Birmingham City,Championship,22,0,0,20,0,0.0,21,4,9,1570.5,1712.5
Finn Azaz,Plymouth Argyle,Championship,23,7,5,144,16,0.12,122,35,63,51.5,241.5
Flynn Downes,Southampton,Championship,24,0,2,75,0,0.0,39,11,13,603.5,1712.5
Francisco Sierralta,Watford,Championship,26,0,1,35,1,0.0,13,0,5,1605.5,1540.5
Fred Onyedinma,Rotherham Utd,Championship,27,2,2,15,7,0.1,20,4,5,1308.0,521.5
Freddie Ladapo,Ipswich Town,Championship,30,2,0,4,8,0.12,3,0,1,2335.5,459.0
Freddie Woodman,Preston,Championship,26,0,0,0,0,0,3,0,0,2590.0,1712.5
Frederick Issaka,Plymouth Argyle,Championship,17,0,0,0,1,0.0,0,0,0,2590.0,1540.5
Gabriel,Norwich City,Championship,24,5,8,190,12,0.09,127,42,74,17.0,350.5
Gary Gardner,Birmingham City,Championship,31,1,0,16,1,0.25,8,3,6,1732.0,761.5
Gavin Bazunu,Southampton,Championship,21,0,0,4,0,0.0,3,0,1,2335.5,1712.5
George Byers,Sheffield Weds,Championship,27,1,1,51,4,0.07,24,8,9,989.0,771.5
George Edmundson,Ipswich Town,Championship,26,0,0,8,0,0,2,0,0,2395.0,1712.5
George Evans,Millwall,Championship,29,0,0,2,0,0,0,0,0,2488.0,1712.5
George Hall,Birmingham City,Championship,19,0,0,0,0,0,0,0,0,2590.0,1712.5
George Hirst,Ipswich Town,Championship,24,6,6,25,20,0.11,37,5,24,774.0,253.5
George Honeyman,Millwall,Championship,29,0,1,28,0,0.0,22,3,11,1201.5,1712.5
George Long,Norwich City,Championship,30,0,0,0,0,0,1,0,0,2590.0,1712.5
George Saville,Millwall,Championship,30,2,2,57,6,0.12,37,3,17,843.5,510.5
George Tanner,Bristol City,Championship,24,0,0,81,1,0.0,23,11,9,1091.5,1540.5
Georgie Kelly,Rotherham Utd,Championship,27,1,1,3,2,0.11,11,1,2,1863.5,830.5
Georginio Rutter,Leeds United,Championship,21,4,9,84,22,0.06,104,35,53,104.0,382.5
Gerard Buabo,Ipswich Town,Championship,0,0,0,0,0,0,0,0,0,2590.0,1712.5
Giorgi Chakvetadze,Watford,Championship,24,1,2,47,9,0.06,48,10,27,618.0,656.5
Glen Kamara,Leeds United,Championship,28,0,2,116,1,0.0,46,16,20,385.5,1540.5
Grady Diangana,West Brom,Championship,25,5,4,64,6,0.2,56,16,25,371.0,292.0
Grant Hall,Rotherham Utd,Championship,32,1,0,2,1,1.0,0,0,1,2378.5,725.5
Grant Hanley,Norwich City,Championship,32,0,0,1,0,0,0,0,0,2516.5,1712.5
Greg Cunningham,Preston,Championship,32,0,0,14,0,0,3,0,1,2231.5,1712.5
Greg Docherty,Hull City,Championship,27,0,1,7,2,0.0,4,3,3,1629.5,1452.5
Greg Leigh,Ipswich Town,Championship,29,0,0,0,0,0,0,0,0,2590.0,1712.5
Gustavo Hamer,Coventry City,Championship,26,0,1,7,0,0.0,8,0,5,1818.0,1712.5
Haji Wright,Coventry City,Championship,25,8,4,22,21,0.13,42,10,15,787.5,191.0
Hakeem Odoffin,Rotherham Utd,Championship,25,3,0,23,4,0.38,13,3,4,1750.5,356.5
Hamza Choudhury,Leicester City,Championship,26,0,0,34,0,0.0,11,1,4,1809.5,1712.5
Harrison Ashby,Swansea City,Championship,22,1,1,13,1,0.25,8,5,3,1499.5,761.5
Harry Clarke,Ipswich Town,Championship,22,1,0,115,2,0.09,40,30,7,930.5,868.5
Harry Cornick,Bristol City,Championship,28,1,0,7,5,0.09,18,3,9,1730.0,703.5
Harry Darling,Swansea City,Championship,24,2,1,85,18,0.05,26,6,7,944.5,506.5
Harry Leonard,Blackburn,Championship,20,3,2,22,9,0.14,17,10,11,926.0,336.0
Harry Pickering,Blackburn,Championship,25,1,0,77,7,0.09,35,16,16,913.5,645.0
Harry Souttar,Leicester City,Championship,25,0,0,9,0,0,0,0,0,2385.5,1712.5
Harry Vaughan,Hull City,Championship,19,0,0,4,2,0.0,3,1,0,2317.5,1452.5
Harry Winks,Leicester City,Championship,27,2,0,162,4,0.17,57,21,12,811.0,490.5
Hayden Carter,Blackburn,Championship,24,0,2,83,1,0.0,21,6,7,815.0,1540.5
Hayden Coulson,Middlesbrough,Championship,25,0,0,6,0,0.0,2,0,0,2417.0,1712.5
Hayden Hackney,Middlesbrough,Championship,21,1,0,131,4,0.06,56,19,21,749.0,791.0
Haydon Roberts,Bristol City,Championship,21,0,0,12,1,0.0,5,2,2,1981.5,1540.5
Hwang Ui-jo,Norwich City,Championship,31,3,1,16,9,0.13,17,1,5,1607.5,360.0
Ian Carlo Poveda,Leeds United,Championship,23,0,0,12,0,0.0,8,4,3,1830.5,1712.5
Ike Ugbo,Cardiff City,Championship,25,4,1,11,8,0.29,15,2,5,1583.5,220.5
Ilia Gruev,Leeds United,Championship,23,0,0,12,0,0,6,1,3,2005.0,1712.5
Ilias Chair,QPR,Championship,26,2,4,118,20,0.03,89,38,35,96.5,518.5
Illan Meslier,Leeds United,Championship,23,0,0,0,0,0,1,0,0,2590.0,1712.5
Imran Louza,Watford,Championship,24,1,3,66,3,0.05,51,17,23,388.5,868.5
Isaiah Jones,Middlesbrough,Championship,24,4,2,95,18,0.11,82,45,27,229.5,303.0
Ismaël Koné,Watford,Championship,21,3,2,88,11,0.11,51,8,19,558.5,375.5
Ivan Šunjić,Birmingham City,Championship,27,0,3,56,3,0.0,40,11,18,566.5,1375.0
Jack Bonham,Stoke City,Championship,30,0,0,1,0,0,2,0,1,2407.0,1712.5
Jack Clarke,Sunderland,Championship,23,12,2,127,26,0.1,141,45,59,154.0,223.0
Jack Colback,QPR,Championship,34,2,1,31,2,0.5,18,2,7,1357.0,541.0
Jack Rudoni,Huddersfield,Championship,23,3,1,72,12,0.08,55,17,19,596.0,426.5
Jack Simpson,Cardiff City,Championship,27,0,0,0,0,0,0,0,0,2590.0,1712.5
Jack Stacey,Norwich City,Championship,27,1,2,61,4,0.13,55,32,24,388.0,654.0
Jack Stephens,Southampton,Championship,29,0,0,24,2,0.0,15,3,8,1611.0,1452.5
